Fecha,Direccion,CGM,Tipo Evento,Coordenadas
2026-04-03,"Ondarribia y Iparraguirre, B1832 Ingeniero Budge, Provincia de Buenos Aires, Argentina",Albertina,Anegamiento,"-34.7434829642277, -58.46176952358251"
2026-04-03,"Guaminí y Amberes, B1828 Ingeniero Budge, Provincia de Buenos Aires, Argentina",Albertina,Anegamiento,"-34.730312002025144, -58.444585204001996"
2026-04-03,"Amberes y Montiel, B1828 Ingeniero Budge, Provincia de Buenos Aires, Argentina",Albertina,Anegamiento,"-34.73104479377341, -58.44577370099969"
2026-04-03,"Arlucea y Bustos, B1828 Ingeniero Budge, Provincia de Buenos Aires, Argentina",Albertina,Anegamiento,"-34.7464215947058, -58.457907704548134"
2026-04-03,"Campoamor y Ostende, B1828 Ingeniero Budge, Provincia de Buenos Aires, Argentina",Albertina,Anegamiento,"-34.72681922170854, -58.44555845982499"
2026-04-03,"Saladillo y Bolonia, B1828 Ingeniero Budge, Provincia de Buenos Aires, Argentina",Albertina,Anegamiento,"-34.73050674141446, -58.44794430181773"
2026-04-03,"París y Claudio de Alas, B1828 Ingeniero Budge, Provincia de Buenos Aires, Argentina",Albertina,Anegamiento,"-34.7354047455832, -58.451143471289946"
2026-04-03,"Ginebra y Andrés Bello, albertina",Albertina,Anegamiento,"-34.73091631309633, -58.45816404929268"
2026-04-03,"Bucarest y Andrés Bello, B1828 Ingeniero Budge, Provincia de Buenos Aires, Argentina",Albertina,Anegamiento,"-34.73130275138888, -58.45768967596316"
2026-04-03,"Laureano Oliver y General Frías, B1832 Lomas de Zamora, Provincia de Buenos Aires, Argentina",Lomas,Anegamiento,"-34.77950266014487, -58.42334824435689"
2026-04-03,"Gervasio Antonio de Posadas y Caseros, B1832 Lomas de Zamora, Provincia de Buenos Aires, Argentina",Lomas,Sumidero obstruido,"-34.77048607536981, -58.41692953258777"
2026-04-03,"Gral. Frías y C. Molina Arrotea, B1832 Lomas de Zamora, Provincia de Buenos Aires, Argentina",Lomas,Sumidero obstruido,"-34.76590445043565, -58.42345810208437"
2026-04-03,"Laprida y Avenida Santa Fe, B1832 Lomas de Zamora, Provincia de Buenos Aires, Argentina",Lomas,Sumidero obstruido,"-34.75764998652943, -58.421596232045275"
