FECHA,HORA_INICIO,HORA_FIN,DURACION_CORTE,CGM,TIPO_AFECTACION,COORDENADAS,USUARIOS_AFECTADOS
2026-04-03,2026-04-03 22:30:00,2026-04-04 19:00:00,20:30:00,Lomas,Inundacion de Camara,"-34.757679, -58.399041",2100
2026-04-03,2026-04-03 22:30:00,2026-04-04 19:00:00,20:30:00,Lomas,Inundacion de Camara,"-34.763131, -58.409217",2100
2026-04-03,2026-04-03 22:30:00,2026-04-04 19:00:00,20:30:00,Banfield,Evento de Media Tension,"-34.741188, -58.400163",400
2026-04-03,2026-04-03 22:30:00,2026-04-04 19:00:00,20:30:00,Banfield,Evento de Media Tension,"-34.742511, -58.399037",400
2026-04-03,2026-04-03 22:30:00,2026-04-04 11:00:00,12:30:00,Llavallol,Evento de Media Tension,"-34.800570, -58.409908",2000
2026-04-03,2026-04-03 22:30:00,2026-04-04 11:00:00,12:30:00,Llavallol,Evento de Media Tension,"-34.799265, -58.411852",2000
2026-04-03,2026-04-04 21:30:00,2026-04-05 15:00:00,17:30:00,Fiorito,Evento de Media Tension,"-34.718796, -58.445122",39
2026-04-03,2026-04-05 09:00:00,2026-04-05 13:00:00,04:00:00,Budge,Evento de Media Tension,"-34.720349, -58.455008",1630
2026-04-03,2026-04-05 09:00:00,2026-04-05 13:00:00,04:00:00,Budge,Evento de Media Tension,"-34.720218, -58.452042",1630
2026-04-03,2026-04-05 09:00:00,2026-04-05 13:00:00,04:00:00,Budge,Evento de Media Tension,"-34.719135, -58.462335",1630
2026-04-03,2026-04-05 09:00:00,2026-04-05 13:00:00,04:00:00,Budge,Evento de Media Tension,"-34.715511, -58.455772",1630
2026-04-03,2026-04-05 09:00:00,2026-04-05 13:00:00,04:00:00,Budge,Evento de Media Tension,"-34.716745, -58.457961",1630
2026-04-03,2026-04-05 09:00:00,2026-04-05 13:00:00,04:00:00,Budge,Evento de Media Tension,"-34.722703, -58.459400",1630
2026-04-03,2026-04-05 09:00:00,2026-04-05 13:00:00,04:00:00,Budge,Evento de Media Tension,"-34.719105, -58.452897",1630
2026-04-03,2026-04-06 13:00:00,2026-04-06 20:00:00,07:00:00,Lomas,Trabajos reparacion de Camara,"-34.757679, -58.399041",772
