Id,Fecha,Hora,Usuario,Area,CGM,Direccion,Coordenadas,Tarea_Preventiva,Observaciones,Foto
2e46fa34,2026-05-06,12:34:59,jojeda@lomasdezamora.gob.ar,Llavallol,Llavallol,"Aristóbulo del Valle & Nestor de la Peña, B1836 Llavallol, Provincia de Buenos Aires, Argentina","-34.79678985615749, -58.426020766119855","Limpieza Manual Sumidero , Arbolado",Tapado por hojas y basura,Tareas_Preventivas_Images/2e46fa34.Foto.153648.jpg
dab01c0b,2026-05-06,12:42:46,jojeda@lomasdezamora.gob.ar,Llavallol,Llavallol,"Arribeños & Machado de Asis, B1836 Llavallol, Provincia de Buenos Aires, Argentina","-34.785225607398274, -58.42430161854182",Limpieza Manual Sumidero,Tapado por basura,Tareas_Preventivas_Images/dab01c0b.Foto.154704.jpg
d90d902e,2026-05-06,13:22:08,jojeda@lomasdezamora.gob.ar,Llavallol,Llavallol,"Antártida Argentina & Polonia, B1836 Llavallol, Provincia de Buenos Aires, Argentina","-34.793176, -58.431678",Limpieza Manual Sumidero,"Limpieza manual preventiva , basura",Tareas_Preventivas_Images/d90d902e.Foto.163039.jpg
da5c0c32,2026-05-06,13:35:31,rcaballero@lomasdezamora.gob.ar,Turdera,Turdera,"Av. Segurola & Av. Hipólito Yrigoyen, B1836 Turdera, Provincia de Buenos Aires, Argentina","-34.791259, -58.409023",Limpieza Manual Sumidero,,
8d60046a,2026-05-06,13:39:13,rcaballero@lomasdezamora.gob.ar,Turdera,Turdera,"Santa María & Padre Bruno, B1834 Turdera, Provincia de Buenos Aires, Argentina","-34.791271, -58.409018",Limpieza Manual Sumidero,,
ef4b902c,2026-05-06,13:40:48,rcaballero@lomasdezamora.gob.ar,Turdera,Turdera,"Santa María & Padre Bruno, B1834 Turdera, Provincia de Buenos Aires, Argentina","-34.791271, -58.409022",Limpieza Manual Sumidero,,
92f9ebee,2026-05-06,13:42:29,rcaballero@lomasdezamora.gob.ar,Turdera,Turdera,"Mariño & San Blas, B1836 Temperley, Provincia de Buenos Aires, Argentina","-34.791266, -58.409018",Limpieza Manual Sumidero,,
8c6610b6,2026-05-06,13:42:47,rcaballero@lomasdezamora.gob.ar,Turdera,Turdera,"General Frías & Cabildo, B1836 Llavallol, Provincia de Buenos Aires, Argentina","-34.791265, -58.409008",Limpieza Manual Sumidero,,
de614afb,2026-05-06,13:43:03,rcaballero@lomasdezamora.gob.ar,Turdera,Turdera,"San Isidro & San Luis, B1836 Turdera, Provincia de Buenos Aires, Argentina","-34.791265, -58.409008",Limpieza Manual Sumidero,,
e0267ea6,2026-05-06,13:43:28,rcaballero@lomasdezamora.gob.ar,Turdera,Turdera,"Sta. María & Gral. José Matías Zapiola, B1834 Turdera, Provincia de Buenos Aires, Argentina","-34.791265, -58.409008",Limpieza Manual Sumidero,,
